ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10229796,HY417182,09/09/2015 07:10:00 PM,057XX N CICERO AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,1711,017,39,12,07,1143310,1937607,2015,02/10/2018 03:50:01 PM,41.984834906,-87.748291038,"(41.984834906, -87.748291038)"
10229797,HY417209,09/08/2015 07:00:00 PM,038XX W 62ND PL,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0823,008,13,65,14,1151872,1862887,2015,02/10/2018 03:50:01 PM,41.779630491,-87.718768622,"(41.779630491, -87.718768622)"
10229798,HY416887,09/09/2015 03:40:00 PM,001XX N STATE ST,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,false,false,0111,001,42,32,06,1176352,1900927,2015,02/10/2018 03:50:01 PM,41.883500187,-87.627876698,"(41.883500187, -87.627876698)"
10229799,HY417208,09/09/2015 07:35:00 PM,049XX W ADAMS ST,0470,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,SIDEWALK,false,false,1533,015,28,25,24,1143615,1898881,2015,02/10/2018 03:50:01 PM,41.878561267,-87.748141417,"(41.878561267, -87.748141417)"
11864408,JC470582,10/12/2019 10:00:00 PM,035XX W ARMITAGE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,false,1413,014,26,22,08B,1152670,1913065,2019,10/20/2019 03:56:02 PM,41.917309305,-87.714517419,"(41.917309305, -87.714517419)"
11860074,JC470935,10/13/2019 09:30:00 AM,078XX S ESCANABA AVE,0497,BATTERY,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON,RESIDENCE,false,true,0421,004,7,43,04B,1196884,1853523,2019,10/20/2019 04:03:03 PM,41.752933783,-87.554062037,"(41.752933783, -87.554062037)"
10229800,HY417230,09/09/2015 05:00:00 PM,061XX S INDIANA AVE,0560,ASSAULT,SIMPLE,RESIDENCE,false,true,0311,003,20,40,08A,1178652,1864295,2015,09/17/2015 11:37:18 AM,41.782927032,-87.620547195,"(41.782927032, -87.620547195)"
10229801,HY417170,09/09/2015 06:53:00 PM,070XX S BISHOP ST,1661,GAMBLING,GAME/DICE,SIDEWALK,true,false,0734,007,17,67,19,1167885,1858019,2015,02/10/2018 03:50:01 PM,41.765943035,-87.660202417,"(41.765943035, -87.660202417)"
10229802,HY417155,09/09/2015 06:20:00 PM,004XX W FULLERTON PKWY,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,TAXICAB,false,false,1935,019,43,7,11,1172710,1916232,2015,02/10/2018 03:50:01 PM,41.925579299,-87.64079655,"(41.925579299, -87.64079655)"
10229803,HY417149,09/09/2015 06:35:00 PM,069XX S HALSTED ST,2027,NARCOTICS,POSS: CRACK,RESTAURANT,true,false,0733,007,6,68,18,1172163,1858942,2015,02/10/2018 03:50:01 PM,41.768382919,-87.644495002,"(41.768382919, -87.644495002)"
